timestamp,serve_id,model,node,gpu_ids,state,source
2026-07-07T18:43:16Z,dsqwen-14b-nscc-ds-4a100-node9-gpu-0-1-69879c6d6f-5l98g,dsqwen-14b,nscc-ds-4a100-node9,0-1,awake,pod_created
2026-07-07T18:43:16Z,dsqwen-14b-nscc-ds-4a100-node9-gpu-2-3-69c86d8db7-vnxtl,dsqwen-14b,nscc-ds-4a100-node9,2-3,awake,pod_created
2026-07-07T18:45:17.721484781Z,dsllama-8b-nscc-ds-4a100-node9-gpu-0-5787b4856f-x29t9,dsllama-8b,nscc-ds-4a100-node9,0,sleeping,vllm_sleep_complete
2026-07-07T18:45:22.919703718Z,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,dsllama-8b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
2026-07-07T18:45:28.157005265Z,dsllama-8b-nscc-ds-4a100-node9-gpu-2-86cb5b875f-pxh2s,dsllama-8b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
2026-07-07T18:45:34.964796155Z,dsllama-8b-nscc-ds-4a100-node9-gpu-3-689cdb87dd-dn7rq,dsllama-8b,nscc-ds-4a100-node9,3,sleeping,vllm_sleep_complete
2026-07-07T18:46:22.321011634Z,dsqwen-14b-nscc-ds-4a100-node10-gpu-0-1-784d8db45f-wzc9f,dsqwen-14b,nscc-ds-4a100-node10,0-1,awake,vllm_wake_complete
2026-07-07T18:48:08.737092553Z,dsqwen-14b-nscc-ds-4a100-node9-gpu-0-1-69879c6d6f-5l98g,dsqwen-14b,nscc-ds-4a100-node9,0-1,sleeping,vllm_sleep_complete
2026-07-07T18:48:18.605659466Z,dsqwen-14b-nscc-ds-4a100-node9-gpu-2-3-69c86d8db7-vnxtl,dsqwen-14b,nscc-ds-4a100-node9,2-3,sleeping,vllm_sleep_complete
2026-07-07T18:48:43.866944625Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,dsqwen-7b,nscc-ds-4a100-node9,0,awake,vllm_wake_complete
2026-07-07T18:48:47.545092907Z,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,dsllama-8b,nscc-ds-4a100-node9,1,awake,vllm_wake_complete
2026-07-07T18:50:06.949490711Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,dsqwen-7b,nscc-ds-4a100-node9,0,sleeping,vllm_sleep_complete
2026-07-07T18:50:11.270240282Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,dsqwen-7b,nscc-ds-4a100-node9,0,awake,vllm_wake_complete
2026-07-07T18:51:10.033547117Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,awake,vllm_wake_complete
2026-07-07T18:51:20.704950103Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
2026-07-08T04:52:25.426250501Z,dsqwen-14b-nscc-ds-4a100-node10-gpu-0-1-784d8db45f-wzc9f,dsqwen-14b,nscc-ds-4a100-node10,0-1,sleeping,vllm_sleep_complete
2026-07-08T04:52:49Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-0-78588bb7d8-b4p5p,dsqwen-7b,nscc-ds-4a100-node10,0,awake,pod_created
2026-07-08T04:52:50Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-1-56fdbbc6ff-xhgdd,dsqwen-7b,nscc-ds-4a100-node10,1,awake,pod_created
2026-07-08T04:52:50Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-2-656bc4f9db-7shnz,dsqwen-7b,nscc-ds-4a100-node10,2,awake,pod_created
2026-07-08T04:52:51Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,awake,pod_created
2026-07-08T04:55:43.704900762Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-0-78588bb7d8-b4p5p,dsqwen-7b,nscc-ds-4a100-node10,0,sleeping,vllm_sleep_complete
